SalePrice(100K),Area,Bedrooms,Bathrooms,CarParks,PropertyType
3.85,363,3,2,1,0
5.66,636,3,2,2,1
5.675,1007,2,2,1,1
5.47,375,4,2,2,0
4.4,493,4,2,2,0
2.5,277,3,2,1,1
3.2,162,2,1,1,0
6.17,672,3,2,2,0
2.475,602,1,1,1,1
3.91,705,3,2,3,0
5.2,552,4,2,4,0
3.185,138,3,2,1,0
4.915,877,3,1,4,0
6,2777,2,1,2,1
4.4,134,3,2,2,1
5.5,697,3,1,1,0
3.3,544,4,1,2,0
2.145,487,4,3,2,0
4.32,646,2,1,1,1
4.7,612,4,2,2,0
22.22,686,3,1,1,0
6.25,131,2,1,1,0
4.11,843,4,2,1,0
9.01,371,3,1,4,0
3.875,350,3,2,2,0
5.2,1042,2,1,1,1
16.9,733,4,4,2,0
2.56,194,2,1,1,1
3.3,674,4,2,2,0
4.15,671,4,1,2,0
3.45,1664,2,1,1,0
5.92,661,4,2,2,0
3.62,1827,1,1,0,1
2.6,825,1,1,1,1
13.9,1250,3,2,2,0
7.15,237,2,2,1,0
3.0978,247,3,1,2,1
2.8,2018,2,1,1,1
6,2782,1,1,1,0
4.7,608,3,2,2,0
4.86,186,2,1,1,1
4.91,533,3,2,2,0
3.3,545,4,2,2,0
6.38,138,2,1,1,0
9.2,437,3,3,2,1
4.09,680,4,2,2,0
4.63,1826,2,2,1,1
16.9,433,3,2,2,0
8.305,543,3,1,2,0
8.88,661,3,2,2,0
5.1,2825,2,2,1,1
2.15,1747,2,1,1,1
11.7,588,2,2,3,0
3.15,137,2,1,1,1
21.5,1011,1,1,2,0
4.775,583,5,2,2,0
4.3,613,4,2,2,0
3.55,392,4,2,2,0
3.44,453,3,1,1,0
3.58,310,3,2,2,0
4.37,529,3,1,2,0
5.5,635,2,1,1,1
3.15,401,2,1,1,1
3,597,3,2,2,0
4.9,581,4,2,1,0
12.3,810,4,2,2,0
2.25,75,2,1,2,1
3.9,696,3,2,2,0
3.35,539,3,1,1,0
2.57,112,2,1,1,1
3.08,654,3,2,2,0
8.6,1205,4,2,4,0
5.5,714,3,1,2,0
3.399,62,2,1,1,1
6.55,1115,3,2,2,1
17.1,602,4,1,2,0
5.85,195,3,1,2,1
5.1,446,2,1,2,0
9.65,320,3,1,2,0
9.05,464,3,1,2,0
7.61,592,4,3,2,0
3.49,307,4,2,2,0
3.05,117,2,1,1,1
3.41,479,4,2,2,0
2.725,293,3,2,1,0
3.20002,490,4,2,2,0
8.8,725,3,2,3,0
3,394,4,2,2,0
3.2242,618,3,2,1,0
3.881,350,3,2,2,1
4.95,613,4,1,2,0
2.3,699,3,1,1,0
3.01,375,3,2,2,0
3.7,496,3,2,2,0
7.15,653,4,2,1,0
4.45,448,3,2,2,0
8.2,733,3,1,2,0
4.3,438,4,2,2,0
4.35,579,3,1,2,0
8.25,236,2,1,1,0
5.45,585,3,1,1,0
3.855,451,4,2,2,0
5.8,648,4,2,2,0
3.37,1350,2,1,1,1
4.374,409,4,2,2,0
4.4,1922,2,1,0,1
3.75,2056,2,1,1,1
6.6,1238,2,1,1,1
5.95,2323,2,2,1,1
4.3,497,2,1,2,1
5.495,685,3,1,1,0
4.805,715,3,1,2,0
5.15,649,3,2,1,0
13.5,555,4,2,3,0
8.02,667,4,2,2,0
4.35,437,4,2,2,0
5.995,419,2,1,1,1
3.62,472,4,2,2,0
3.35,650,3,1,1,0
6.125,671,4,2,2,0
2.75,576,3,1,1,0
3.59,313,3,1,1,0
3.06,2323,1,1,1,1
4.339,350,4,2,2,0
8.8,674,4,1,4,0
4.78,628,3,1,2,0
4.5,448,3,2,2,0
7.79,141,3,2,2,1
3.75,400,3,2,2,0
3.22,385,3,1,1,0
3.15,371,4,2,2,0
2.675,166,2,1,1,1
3.98,246,2,1,1,1
5.15,826,3,1,1,0
4.31,594,4,2,2,0
9.2,393,2,1,2,0
3.78,824,2,1,1,1
3.4,565,3,3,2,0
5.15,1647,1,1,1,1
4.5,312,3,2,2,0
3.154,562,3,1,2,0
70,781,7,1,1,0
3.4,1386,2,2,1,1
9.25,736,4,1,4,0
2.9,585,3,1,1,0
12.52,905,3,2,2,0
4.72,538,3,2,1,0
2.59,536,3,2,2,0
18.7,511,4,2,2,0
6.7,996,3,2,2,0
5.4,696,4,2,2,0
3.6,895,3,1,1,0
10.3,649,3,1,1,0
5.99,1940,2,2,1,1
8.52,250,3,1,1,0
4.81,677,3,1,2,0
6.12,955,3,2,1,0
5.05,202,4,3,2,0
5.65,985,2,1,1,1
4.5,2127,2,1,1,0
6.45,700,3,2,2,0
4.25,659,4,2,2,0
3.895,355,3,2,2,0
5.45,1386,2,1,1,0
7.5,513,3,1,1,0
2.95,576,3,1,1,0
4.41,574,3,2,1,0
22.75,1012,3,3,3,0
4.76,666,3,2,2,0
7.11,1217,4,2,2,0
4.1,836,3,2,2,0
3.86,563,3,2,2,0
9.3,441,3,2,1,0
22,700,3,2,2,0
4.15,438,4,2,2,0
5.61,340,2,1,2,0
4.6,480,3,2,2,0
2.58,2311,1,1,1,1
3.72,1620,2,1,1,1
4.315,703,4,2,2,0
6.05,476,2,1,3,0
6.67,395,3,2,1,0
4.52,608,4,2,2,0
5.2,2127,2,1,1,1
10.85,596,3,2,1,0
4.24,1781,2,2,2,0
7.5,83,2,2,1,1
19,552,4,1,4,0
3.05,101,1,1,0,1
8.8,352,3,1,1,0
4.62,450,2,1,1,1
2.95,69,1,1,1,1
6.687,646,4,2,2,0
3.41,635,3,1,2,0
4.08,557,4,2,2,0
3.25,1239,1,1,1,1
19.75,335,2,3,2,1
9.525,328,4,1,1,0
5.22,543,4,2,2,0
6.4,478,3,1,3,0
8.01,613,3,2,2,0
3.325,537,3,1,2,0
5.5,173,3,1,2,1
4.95897,2127,2,1,1,1
5.03,416,3,2,2,0
3.7,613,3,2,2,0
4.95,792,3,2,2,0
2.7,654,3,1,2,0
4.7,606,3,1,2,0
2.95,257,3,1,2,1
7.6,266,3,1,1,0
3.5,293,3,2,1,0
3.2,878,1,1,1,1
3.35,560,3,1,2,0
10,922,4,1,2,0
2.6,636,3,1,3,0
31.75,891,4,2,2,0
6.5,1410,2,2,2,1
3.1,1569,1,1,1,1
26.5,1458,4,3,2,0
3.65,210,3,2,2,1
4.75,291,2,1,1,1
3.43,798,3,2,2,0
5.6,1423,2,1,1,1
3.45,239,4,2,2,1
4.05,448,4,2,2,0
4.47,179,3,1,2,1
3.7,320,3,1,1,0
6.6,207,2,2,2,0
4.15,392,3,2,2,0
6.75,588,2,1,1,1
5.05,364,4,2,2,0
22.2,613,3,1,2,0
3.55,569,4,2,2,0
4,420,4,2,2,0
5.01,457,4,2,2,0
3.3,370,4,2,2,0
4.55,920,2,1,1,1
5.55,426,3,2,1,0
5.5,102,3,2,1,1
3.4,198,2,1,1,1
5.2,573,3,1,2,1
4.42,585,4,2,2,0
5.72,292,2,1,1,0
3.85,349,4,2,2,0
3.37,400,3,2,2,0
2.82,564,3,1,2,0
3.45,571,3,2,2,0
2.28,580,3,1,2,0
3.85,313,3,1,1,0
8.71,1062,4,2,2,0
7.5,401,3,1,1,0
4.7,551,3,1,2,0
6.525,669,2,1,2,0
5.225,169,2,1,1,1
6.3525,489,2,1,1,0
6.9,297,3,2,2,1
2.4,178,2,1,1,1
3.7,547,3,2,2,0
4.8,693,4,2,1,0
4.5,1213,3,2,2,0
3.95,788,2,1,1,1
3.9,608,4,2,2,0
3.8,400,4,2,2,0
3.215,216,2,1,1,1
6.1,955,2,2,1,1
3.299,121,2,1,1,0
3.4,467,4,2,2,0
4.35,752,4,2,2,0
3.85,1732,2,1,1,1
3,656,3,1,1,0
3.25,336,3,2,2,0
6.52,3003,2,2,1,1
10.95,865,3,3,3,0
2.77,938,2,1,1,1
4.8,497,3,2,1,1
3.62,697,1,1,1,1
3,2323,1,1,1,1
4.2,399,4,2,2,0
3.58,392,3,2,2,0
3.29,632,3,2,2,0
7.1,271,3,1,1,1
3.25,472,4,2,2,0
4.45,608,4,2,2,0
3.72,399,4,2,2,0
14,759,3,1,1,0
4.62,508,3,1,1,0
4.25,773,4,2,2,0
2.5,54,2,1,1,1
6,409,3,1,1,0
5.55,646,4,3,2,0
12.8,130,2,2,2,0
4.006,2466,2,1,1,1
2.57,1805,2,1,1,1
8.3,715,2,1,2,0
3.3,348,2,1,1,0
3.88,376,3,2,2,0
3.533,577,3,2,1,0
5.375,155,3,2,2,0
2.45,1181,1,1,1,1
3.6,262,3,2,2,1
5.8,160,3,2,1,0
4.4,448,4,2,2,0
12.5,199,2,1,1,1
4.1,400,3,2,2,0
3.25,575,3,1,2,0
5.3,213,3,2,2,0
3.93,147,3,2,2,0
3.95,404,4,2,2,0
4.325,604,4,3,2,0
2.9,590,3,1,2,0
3.85,724,3,1,4,0
3.835,783,2,1,1,1
5.91,123,2,2,1,1
2.29,420,4,2,2,0
2.45,1977,2,1,1,1
3.45,764,3,1,2,0
4.25,668,1,1,1,0
4.23,209,3,2,2,0
4.775,400,4,2,2,0
6.9,339,2,1,2,0
3.35,800,3,1,2,0
4,1915,2,1,0,1
7.65,634,2,1,1,0
9,383,3,1,1,0
4.199,349,3,2,2,0
5.35,156,2,1,1,1
7.45,465,2,1,1,0
5.11,392,3,1,1,1
4.22,554,3,2,2,0
3.76,1167,2,2,1,1
4.5,539,3,2,2,0
5.025,510,4,2,2,0
4.81055,645,4,2,2,0
3.57,614,3,1,1,0
4.51,825,2,1,1,1
8.425,315,3,2,2,0
3.1,548,3,1,1,0
4.05,374,3,2,2,0
3.65,448,3,2,2,0
8.5,546,3,2,2,0
5.05,1020,2,1,1,1
2.975,614,3,2,2,0
3.3,2832,1,1,1,1
4.95,576,4,2,2,0
5.45,187,2,1,1,1
12.86,412,3,1,2,0
13,902,3,2,2,0
3.65,300,3,2,1,0
2.95,273,1,1,1,1
2.85,603,3,1,2,0
5,797,2,1,1,1
3.5,439,4,2,2,0
5.15,3003,1,1,1,1
4.3,261,3,2,2,1
16.7,1018,4,3,2,0
7.01,238,3,2,2,1
2.7,750,3,1,2,0
4.67,502,3,1,1,0
15.49,184,3,2,1,0
17.6,340,4,3,1,0
4.57,587,4,2,2,0
5.56,761,2,1,2,1
6.65,678,3,2,2,0
3.85,300,3,1,1,0
15.4,402,3,2,2,0
8.85,154,2,1,1,0
4.41,616,4,2,2,0
8.75,669,3,1,2,0
4.8,512,4,2,2,0
4.8,863,4,2,2,0
4.05,420,4,2,2,0
8.54,142,3,2,2,1
3.15,273,2,1,1,1
3.1,1019,2,1,1,1
4.36,627,3,1,0,0
13.69,400,3,1,2,0
22.5,2838,2,2,2,1
4.56,584,3,2,2,0
3.83,2311,1,1,1,1
10.3,464,4,2,2,0
5.4,1001,4,2,4,0
19.5,373,3,3,2,0
2.77,270,2,1,1,1
4.795,512,4,2,2,0
3.5,568,4,2,2,0
9,1013,3,2,4,1
3.695,106,1,2,2,0
14.31,636,4,2,2,0
3.44,570,4,2,2,0
5.65002,313,4,2,2,0
6.65,193,3,2,1,0
3.2,659,4,2,2,0
3.975,2832,1,1,1,1
3.21,1003,2,1,1,1
3.425,676,3,1,2,0
6.4,142,3,2,1,1
5.2,797,3,2,1,0
4.50001,2321,1,1,1,1
